REG. NO.;CODE;NAME;REGION;DISTRICT;WARD;OWNERSHIP;LATITUDE;LONGITUDE;PASS_RATE;AVG_MARK;CHANGE_PREVIOUS_YEAR;RANK;YEAR_OF_RESULT
EM.1865;PS0101-001;BANGATA;ARUSHA;ARUSHA;BANGATA;GOVERNMENT;-3.3403253;36.7431434;;;;;
EM.4030;PS0101-003;BWAWANI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.6076467;36.8447191;;;;;
EM.11557;PS0101-005;EKENYWA;ARUSHA;ARUSHA;OLTURUMET;GOVERNMENT;-3.2983403;36.6267205;;;;;
EM.6937;PS0101-006;EMAOI;ARUSHA;ARUSHA;OLMOTONYI;GOVERNMENT;-3.3080883;36.6489966;;;;;
EM.6938;PS0101-007;ENDOINYOESOYE;ARUSHA;ARUSHA;TARAKWA;GOVERNMENT;-3.3227865;36.6515627;;;;;
EM.4031;PS0101-008;ENGALAONI;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.2379416;36.5442366;;;;;
EM.12373;PS0101-009;ENGORIKA;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.2327941;36.6422835;;;;;
EM.10548;PS0101-010;ENGUTUKOIT;ARUSHA;ARUSHA;OLDONYOWASS;GOVERNMENT;-3.0463618;36.7477283;;;;;
EM.7602;PS0101-011;ENYUATA;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.358471;36.668068;;;;;
EM.9579;PS0101-012;GREEN ACRES;ARUSHA;ARUSHA;KIUTU;NON GOVERNMENT;-3.3624253;36.7056632;;;;;
EM.656;PS0101-013;ILBORU;ARUSHA;ARUSHA;ILBORU;GOVERNMENT;-3.347781;36.68613;;;;;
EM.10715;PS0101-014;ILKERIN;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.3567017;36.5261733;;;;;
EM.1171;PS0101-015;ILKIDING'A;ARUSHA;ARUSHA;ILKIDING'A;GOVERNMENT;-3.3178416;36.6848933;;;;;
EM.15191;PS0101-016;ILKISONGO;ARUSHA;ARUSHA;ILKIDING'A;GOVERNMENT;-3.317492;36.965646;;;;;
EM.10716;PS0101-017;ILKIUREI;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.356937;36.676662;;;;;
EM.6939;PS0101-018;ILKUROT;ARUSHA;ARUSHA;OLKOKOLA;GOVERNMENT;-3.2264657;36.6184642;;;;;
EM.5787;PS0101-019;IMBIBIA;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.2489526;36.5856477;;;;;
EM.10887;PS0101-020;J.K. NYERERE;ARUSHA;ARUSHA;OLORIEN;GOVERNMENT;-3.3431873;36.6461204;;;;;
EM.6940;PS0101-022;KAMBI YA MAZIWA;ARUSHA;ARUSHA;MATEVES;GOVERNMENT;-3.3732665;36.5763576;;;;;
EM.4032;PS0101-023;KIGONGONI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5378021;36.7805231;;;;;
EM.13028;PS0101-024;KILIMANJARO;ARUSHA;ARUSHA;OLORIEN;NON GOVERNMENT;-3.3501163;36.6522587;;;;;
EM.5788;PS0101-025;KIMNYAKI;ARUSHA;ARUSHA;KIMNYAKI;GOVERNMENT;-3.3154126;36.6547614;;;;;
EM.4577;PS0101-026;KIOGA;ARUSHA;ARUSHA;ILKIDING'A;GOVERNMENT;-3.3641707;36.7056296;;;;;
EM.13029;PS0101-027;KIRANYI;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.358471;36.668068;;;;;
EM.2011;PS0101-028;KISERIAN;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.44958;36.740663;;;;;
EM.735;PS0101-029;KISONGO;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.369725;36.547065;;;;;
EM.11082;PS0101-030;LAMOLOKI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.580214;36.833073;;;;;
EM.6941;PS0101-031;LAROI;ARUSHA;ARUSHA;LAROI;GOVERNMENT;-3.4958783;36.6267749;;;;;
EM.2754;PS0101-032;LEMANYATA;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.26372;36.61808;;;;;
EM.6942;PS0101-033;LEMINYOR;ARUSHA;ARUSHA;OLDONYOSAMBU;GOVERNMENT;-3.1982275;36.6338513;;;;;
EM.3022;PS0101-034;LEMUGUR;ARUSHA;ARUSHA;MATEVES;GOVERNMENT;-3.4318583;36.5611199;;;;;
EM.4033;PS0101-035;LENGIJAVE;ARUSHA;ARUSHA;OLKOKOLA;GOVERNMENT;-3.2224733;36.6038033;;;;;
EM.4578;PS0101-036;LESIRAA;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.3975833;36.5051016;;;;;
EM.4034;PS0101-037;LIKAMBA;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.3373668;36.559877;;;;;
EM.5789;PS0101-038;LOOVILUKUNYI;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.4087917;36.5432633;;;;;
EM.2343;PS0101-039;LORUVAN;ARUSHA;ARUSHA;OLTUROTO;GOVERNMENT;-3.3470433;36.7034833;;;;;
EM.6943;PS0101-040;LOSIKITO;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.5391888;36.6506438;;;;;
EM.4579;PS0101-041;LOSINONI;ARUSHA;ARUSHA;OLDONYOWASS;GOVERNMENT;-3.0473625;36.6981188;;;;;
EM.4580;PS0101-043;MAJI MOTO;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.3539155;36.0075363;;;;;
EM.6944;PS0101-044;MANYIRE;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.4546016;36.8054433;;;;;
EM.4581;PS0101-045;MARURANI;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.4798152;36.8440208;;;;;
EM.12374;PS0101-047;MATIM;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.1548698;36.3745156;;;;;
EM.6945;PS0101-048;MBUYUNI;ARUSHA;ARUSHA;OLJORO;GOVERNMENT;-3.5632833;36.6561466;;;;;
EM.4582;PS0101-049;MIDAWE;ARUSHA;ARUSHA;BANGATA;GOVERNMENT;-3.3684617;36.7531625;;;;;
EM.6946;PS0101-050;MIRONGOINE;ARUSHA;ARUSHA;OLJORO;GOVERNMENT;-3.5679519;36.6531133;;;;;
EM.4035;PS0101-051;MLANGARINI;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.447954;36.786516;;;;;
EM.13030;PS0101-052;MOIVO;ARUSHA;ARUSHA;MOIVO;GOVERNMENT;-3.3470433;36.7034833;;;;;
EM.6947;PS0101-054;MRINGA;ARUSHA;ARUSHA;OLORIEN;GOVERNMENT;-3.3540036;36.6156082;;;;;
EM.5790;PS0101-055;MUNGUSHI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5292372;36.8333401;;;;;
EM.1172;PS0101-057;MUSA;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.3224154;36.5205957;;;;;
EM.9230;PS0101-058;MUUNGANO;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.482045;36.7362017;;;;;
EM.1457;PS0101-059;MWANDETI;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.5391888;36.6506438;;;;;
EM.7603;PS0101-060;MZIMUNI;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.5046799;36.8059825;;;;;
EM.6948;PS0101-061;NAMBERE;ARUSHA;ARUSHA;SOKON II;GOVERNMENT;-3.353053;36.721954;;;;;
EM.7604;PS0101-062;NATEMA;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.3399363;36.6999421;;;;;
EM.11558;PS0101-063;NAUREI;ARUSHA;ARUSHA;KIUTU;GOVERNMENT;-3.3516817;36.7147611;;;;;
EM.1173;PS0101-064;NDURUMA;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.4749033;36.7937083;;;;;
EM.1562;PS0101-065;NENGUNGU;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.3438383;36.4704983;;;;;
EM.7605;PS0101-066;NGARAMTONI;ARUSHA;ARUSHA;OLTURUMET;GOVERNMENT;-3.3158654;36.6382362;;;;;
EM.4583;PS0101-067;NG'IRESI;ARUSHA;ARUSHA;SOKON II;GOVERNMENT;-3.3322759;36.7329216;;;;;
EM.13884;PS0101-068;NURU;ARUSHA;ARUSHA;ILBORU;NON GOVERNMENT;-3.3500612;36.3739801;;;;;
EM.12375;PS0101-071;OLBAK;ARUSHA;ARUSHA;OLKOKOLA;GOVERNMENT;-3.2233833;36.6046456;;;;;
EM.3408;PS0101-072;OLCHOKI;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.3394;36.672;;;;;
EM.4584;PS0101-073;OLCHOROVUS;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.2981716;36.5276916;;;;;
EM.603;PS0101-074;OLDADAI;ARUSHA;ARUSHA;SOKON II;GOVERNMENT;-3.363306;36.734878;;;;;
EM.11559;PS0101-075;OLDENDERETI;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.7448033;36.7637083;;;;;
EM.2600;PS0101-076;OLDONYOSAMBU;ARUSHA;ARUSHA;OLDONYOSAMBU;GOVERNMENT;-3.1540333;36.6776233;;;;;
EM.990;PS0101-077;OLDONYOSAPUK;ARUSHA;ARUSHA;OLTUROTO;GOVERNMENT;-3.329909;36.709148;;;;;
EM.8199;PS0101-078;OLDONYOWAS;ARUSHA;ARUSHA;OLDONYOWASS;GOVERNMENT;-3.1548304;36.6864811;;;;;
EM.4585;PS0101-079;OLGILAI;ARUSHA;ARUSHA;KIUTU;GOVERNMENT;-3.3423317;36.7228777;;;;;
EM.3023;PS0101-080;OLJORO;ARUSHA;ARUSHA;OLJORO;GOVERNMENT;-3.5809598;36.6780255;;;;;
EM.1174;PS0101-082;OLKOKOLA;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.2317394;36.6112483;;;;;
EM.2210;PS0101-083;OLMOTONYI;ARUSHA;ARUSHA;OLMOTONYI;GOVERNMENT;-3.2910419;36.6493041;;;;;
EM.4586;PS0101-084;OLMRINGIRINGA;ARUSHA;ARUSHA;KIMNYAKI;GOVERNMENT;-3.3046096;36.6716773;;;;;
EM.11083;PS0101-085;OLOIRIEN VALLEY;ARUSHA;ARUSHA;OLORIEN;NON GOVERNMENT;-3.3222531;36.6331767;;;;;
EM.2012;PS0101-086;OLOKII;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5046699;36.8059715;;;;;
EM.7606;PS0101-087;OLOSIVA;ARUSHA;ARUSHA;OLORIEN;GOVERNMENT;-3.3451606;36.6477138;;;;;
EM.991;PS0101-088;OLTROTO;ARUSHA;ARUSHA;OLTUROTO;GOVERNMENT;-3.33370166;36.6891666;;;;;
EM.4587;PS0101-089;OLTURMET;ARUSHA;ARUSHA;OLTURUMET;GOVERNMENT;-3.3647191;36.6093081;;;;;
EM.2856;PS0101-090;SAMBASHA;ARUSHA;ARUSHA;SAMBASHA;GOVERNMENT;-3.2965333;36.670045;;;;;
EM.3409;PS0101-091;SASI;ARUSHA;ARUSHA;BANGATA;GOVERNMENT;-3.656505;36.7619751;;;;;
EM.992;PS0101-092;SEKEI;ARUSHA;ARUSHA;KIUTU;GOVERNMENT;-3.3574107;36.7166343;;;;;
EM.335;PS0101-093;SELIAN;ARUSHA;ARUSHA;KIMNYAKI;GOVERNMENT;-3.323945;36.655226;;;;;
EM.9231;PS0101-095;SITTI MWINYI;ARUSHA;ARUSHA;OLJORO;GOVERNMENT;-3.5354545;36.6442353;;;;;
EM.12376;PS0101-096;SOS HERMAN;ARUSHA;ARUSHA;OLTURUMET;NON GOVERNMENT;-3.308119;36.637477;;;;;
EM.11561;PS0101-098;ST. MARGRETH;ARUSHA;ARUSHA;KISONGO;NON GOVERNMENT;-3.3717041;36.5805175;;;;;
EM.5791;PS0101-101;THEMI YA SIMBA;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5967623;36.6996714;;;;;
EM.11084;PS0101-102;TIMBOLO;ARUSHA;ARUSHA;SAMBASHA;GOVERNMENT;-3.2980756;36.6700733;;;;;
EM.10888;PS0101-103;TRUST ST. PATRICK;ARUSHA;ARUSHA;OLORIEN;NON GOVERNMENT;-3.3541965;36.6522091;;;;;
EM.11562;PS0101-104;UMOJA;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.7349033;36.7737083;;;;;
EM.14968;PS0101-106;MAGRETH ENGLAND BARK;ARUSHA;ARUSHA;OLTURUMET;NON GOVERNMENT;-3.3022721;36.6375616;;;;;
EM.13031;PS0101-107;NEW LIFE;ARUSHA;ARUSHA;OLORIEN;NON GOVERNMENT;-3.3436141;36.6469212;;;;;
EM.11560;PS0101-108;OLOMITU;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.412286;36.758884;;;;;
EM.14311;PS0101-109;YAKINI;ARUSHA;ARUSHA;KISONGO;NON GOVERNMENT;-3.3874027;36.5539942;;;;;
EM.13885;PS0101-112;SOTWA WILSON;ARUSHA;ARUSHA;MOIVO;NON GOVERNMENT;-3.38768;36.7388631;;;;;
EM.13886;PS0101-113;WILKABAA;ARUSHA;ARUSHA;SOKON II;NON GOVERNMENT;-3.357785;36.7179266;;;;;
EM.13504;PS0101-114;ALBEHIJE;ARUSHA;ARUSHA;KIRANYI;NON GOVERNMENT;-3.3620171;36.6856885;;;;;
EM.13507;PS0101-115;NEW VISION;ARUSHA;ARUSHA;OLTURUMET;NON GOVERNMENT;-3.3408047;36.6264302;;;;;
EM.14964;PS0101-116;ASSALAF;ARUSHA;ARUSHA;MATEVES;NON GOVERNMENT;-3.385133;36.5491474;;;;;
EM.13505;PS0101-117;ENJORO;ARUSHA;ARUSHA;LAROI;GOVERNMENT;-3.4320129;36.6517247;;;;;
EM.14568;PS0101-118;LIKAMBA INTEGRITY;ARUSHA;ARUSHA;MUSA;NON GOVERNMENT;-3.3373667;36.5598467;;;;;
EM.13506;PS0101-119;MSHIKAMANO;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.4798152;36.8440208;;;;;
EM.14569;PS0101-120;ST.PAUL;ARUSHA;ARUSHA;KIUTU;NON GOVERNMENT;-3.179993;36.649904;;;;;
EM.14966;PS0101-121;GOODWILL;ARUSHA;ARUSHA;MOIVO;NON GOVERNMENT;-3.3551844;36.6921826;;;;;
EM.14962;PS0101-122;ARUSHA HILL SIDE;ARUSHA;ARUSHA;MATEVES;NON GOVERNMENT;-3.3732665;36.5763576;;;;;
EM.14754;PS0101-123;EBENEZER;ARUSHA;ARUSHA;SOKON II;NON GOVERNMENT;-3.3665232;36.7135984;;;;;
EM.14965;PS0101-124;EUNOTO;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.3373669;36.5598478;;;;;
EM.14309;PS0101-125;ILKONERE;ARUSHA;ARUSHA;OLMOTONYI;GOVERNMENT;-3.3622783;36.7075383;;;;;
EM.14967;PS0101-126;MAASAY JOY;ARUSHA;ARUSHA;OLTURUMET;NON GOVERNMENT;-3.2686734;36.6327869;;;;;
EM.14310;PS0101-127;SONGAMBELE;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5967621;36.6996712;;;;;
EM.14963;PS0101-128;ARUSHA VICTORY;ARUSHA;ARUSHA;KIRANYI;NON GOVERNMENT;-3.3579834;36.6780255;;;;;
EM.15917;PS0101-129;GRACIOUS;ARUSHA;ARUSHA;KIRANYI;NON GOVERNMENT;-3.3475766;36.6696166;;;;;
EM.14567;PS0101-130;ENGIKARETI;ARUSHA;ARUSHA;BANGATA;GOVERNMENT;-3.3722475;36.7538238;;;;;
EM.15190;PS0101-131;ENGILANG'ET;ARUSHA;ARUSHA;MOIVO;NON GOVERNMENT;-3.3472802;36.6992602;;;;;
EM.15192;PS0101-132;NAMELOK;ARUSHA;ARUSHA;OLDONYOWASS;GOVERNMENT;-3.1347033;36.7460733;;;;;
EM.15194;PS0101-134;ST. AUGUSTINE;ARUSHA;ARUSHA;KIRANYI;NON GOVERNMENT;-3.7417673;36.4787644;;;;;
EM.180;PS0102-001;ARUSHA SCHOOL;ARUSHA;ARUSHA CC;THEMI;GOVERNMENT;-3.3760433;36.6941067;;;;;
EM.8200;PS0102-002;BARAA;ARUSHA;ARUSHA CC;BARAA;GOVERNMENT;-3.3887066;36.737565;;;;;
EM.2013;PS0102-003;BURKA;ARUSHA;ARUSHA CC;ELERAI;GOVERNMENT;-3.3648532;36.6614862;;;;;
EM.2101;PS0102-004;ENGOSENGIU;ARUSHA;ARUSHA CC;SINONI;GOVERNMENT;-3.416155;36.6879112;;;;;
EM.1563;PS0102-005;KALOLENI;ARUSHA;ARUSHA CC;KALOLENI;GOVERNMENT;-3.3673166;36.6897459;;;;;
EM.1564;PS0102-006;KIMANDOLU;ARUSHA;ARUSHA CC;KIMANDOLU;GOVERNMENT;-3.3683767;36.7045549;;;;;
EM.2857;PS0102-007;KIJENGE;ARUSHA;ARUSHA CC;SEKEI;GOVERNMENT;-3.376673;36.7048666;;;;;
EM.5792;PS0102-008;LEMARA;ARUSHA;ARUSHA CC;LEMARA;GOVERNMENT;-3.4033093;36.7002712;;;;;
EM.8275;PS0102-009;LEVOLOSI;ARUSHA;ARUSHA CC;LEVOLOSI;GOVERNMENT;-3.3674863;36.6813965;;;;;
EM.1709;PS0102-010;MERU;ARUSHA;ARUSHA CC;KATI;GOVERNMENT;-3.3699479;36.6898233;;;;;
EM.7607;PS0102-011;MKONOO;ARUSHA;ARUSHA CC;TERRAT;GOVERNMENT;-3.4739584;36.7050348;;;;;
EM.4036;PS0102-012;NADOSOITO;ARUSHA;ARUSHA CC;MURIET;GOVERNMENT;-3.4958982;36.6811609;;;;;
EM.657;PS0102-013;NAURA;ARUSHA;ARUSHA CC;SEKEI;GOVERNMENT;-3.3626924;36.69574;;;;;
EM.2858;PS0102-014;NGARENARO;ARUSHA;ARUSHA CC;NGARENARO;GOVERNMENT;-3.3735816;36.6773513;;;;;
EM.8276;PS0102-015;NJIRO HILL;ARUSHA;ARUSHA CC;ENGUTOTO;GOVERNMENT;-3.423265;36.707683;;;;;
EM.7608;PS0102-016;OLOIRIEN;ARUSHA;ARUSHA CC;OLOIRIEN;GOVERNMENT;-3.3885404;36.7117286;;;;;
EM.302;PS0102-017;SANAWARI;ARUSHA;ARUSHA CC;SEKEI;GOVERNMENT;-3.3627379;36.695889;;;;;
EM.736;PS0102-018;SINON;ARUSHA;ARUSHA CC;SINONI;GOVERNMENT;-3.3938505;36.6820367;;;;;
EM.2344;PS0102-019;SOMBETINI;ARUSHA;ARUSHA CC;SOMBETINI;GOVERNMENT;-3.3900111;36.6665666;;;;;
EM.2755;PS0102-020;THEMI;ARUSHA;ARUSHA CC;THEMI;GOVERNMENT;-3.3807836;36.6891492;;;;;
EM.295;PS0102-021;UHURU;ARUSHA;ARUSHA CC;KATI;GOVERNMENT;-3.67584;36.69908;;;;;
EM.10410;PS0102-022;DARAJA MBILI;ARUSHA;ARUSHA CC;DARAJA II;GOVERNMENT;-3.386763;36.694123;;;;;
EM.10267;PS0102-026;MAROMBOSO;ARUSHA;ARUSHA CC;NGARENARO;NON GOVERNMENT;-3.3693832;36.676965;;;;;
EM.10890;PS0102-028;ARUSHA MODERN;ARUSHA;ARUSHA CC;ELERAI;NON GOVERNMENT;-3.361742;36.66111;;;;;
EM.11085;PS0102-029;ARUSHA INTEGRATED;ARUSHA;ARUSHA CC;ELERAI;NON GOVERNMENT;-3.3634187;36.6580771;;;;;
EM.10551;PS0102-030;SUYE;ARUSHA;ARUSHA CC;KIMANDOLU;GOVERNMENT;-3.3853076;36.7201073;;;;;
EM.11568;PS0102-031;PARENTS;ARUSHA;ARUSHA CC;SOKON I;NON GOVERNMENT;-3.4040983;36.6779233;;;;;
EM.11567;PS0102-032;OSUNYAI;ARUSHA;ARUSHA CC;OSUNYAI JR;GOVERNMENT;-3.39012;36.6677933;;;;;
EM.10892;PS0102-033;IMANI SCHOOL;ARUSHA;ARUSHA CC;OSUNYAI JR;NON GOVERNMENT;-3.38352;36.67018;;;;;
EM.11564;PS0102-034;KILIMANI;ARUSHA;ARUSHA CC;SEKEI;NON GOVERNMENT;-3.3642378;37.701434;;;;;
EM.11569;PS0102-035;SWIFTS;ARUSHA;ARUSHA CC;NGARENARO;NON GOVERNMENT;-3.3655453;36.6750912;;;;;
EM.13038;PS0102-036;PRIME;ARUSHA;ARUSHA CC;SEKEI;NON GOVERNMENT;-3.382638;36.696001;;;;;
EM.10411;PS0102-037;ENGARENAROK LUTH. TETRA;ARUSHA;ARUSHA CC;NGARENARO;NON GOVERNMENT;-3.361385;36.6712933;;;;;
EM.10549;PS0102-038;ENGIRA;ARUSHA;ARUSHA CC;THEMI;GOVERNMENT;-3.3940816;36.6975333;;;;;
EM.12377;PS0102-039;GREEN VALLEY;ARUSHA;ARUSHA CC;SOMBETINI;NON GOVERNMENT;-3.3893041;36.6643634;;;;;
EM.12380;PS0102-040;LISE;ARUSHA;ARUSHA CC;NGARENARO;NON GOVERNMENT;-3.3656971;36.6738176;;;;;
EM.13510;PS0102-041;MWANGAZA;ARUSHA;ARUSHA CC;NGARENARO;GOVERNMENT;-3.374502;36.70066;;;;;
EM.10550;PS0102-042;SOKONI I;ARUSHA;ARUSHA CC;SOKON I;GOVERNMENT;-3.401735;36.6681033;;;;;
EM.12384;PS0102-043;SHALOM;ARUSHA;ARUSHA CC;LEMARA;NON GOVERNMENT;-7.970956;40.940491;;;;;
EM.13032;PS0102-044;BETHEL;ARUSHA;ARUSHA CC;KIMANDOLU;NON GOVERNMENT;-3.392235;36.680385;;;;;
EM.11563;PS0102-045;ASSUMPTION;ARUSHA;ARUSHA CC;OLOIRIEN;NON GOVERNMENT;-3.3841364;36.7071053;;;;;
EM.12378;PS0102-046;HADY;ARUSHA;ARUSHA CC;OSUNYAI JR;NON GOVERNMENT;-3.3853796;36.6689221;;;;;
EM.10889;PS0102-047;ANGELICO LIPAN;ARUSHA;ARUSHA CC;SOMBETINI;NON GOVERNMENT;-3.3852664;36.6709666;;;;;
EM.11086;PS0102-048;ELERAI;ARUSHA;ARUSHA CC;ELERAI;GOVERNMENT;-3.3729361;36.6567847;;;;;
EM.13035;PS0102-049;HIGH VIEW;ARUSHA;ARUSHA CC;SOMBETINI;NON GOVERNMENT;-3.38643125;36.661566;;;;;
EM.12381;PS0102-050;LOAMO;ARUSHA;ARUSHA CC;OLOIRIEN;NON GOVERNMENT;-3.3882633;36.7133133;;;;;
EM.13036;PS0102-051;MAKUMBUSHO;ARUSHA;ARUSHA CC;KALOLENI;GOVERNMENT;-3.3668437;36.6895808;;;;;
EM.13509;PS0102-052;MOIVOI;ARUSHA;ARUSHA CC;OLOIRIEN;GOVERNMENT;-3.3845156;36.7113702;;;;;
EM.12383;PS0102-053;MOUNT MERU;ARUSHA;ARUSHA CC;ENGUTOTO;NON GOVERNMENT;-3.4410988;36.7130472;;;;;
EM.13039;PS0102-054;UKOMBOZI;ARUSHA;ARUSHA CC;SINONI;GOVERNMENT;-3.3921756;36.6844638;;;;;
EM.12386;PS0102-055;UNITY SCHOOL;ARUSHA;ARUSHA CC;NGARENARO;NON GOVERNMENT;-3.3686452;36.675275;;;;;
EM.13512;PS0102-056;SALEI;ARUSHA;ARUSHA CC;UNGA LTD;GOVERNMENT;-3.3801921;36.674359;;;;;
EM.13034;PS0102-058;ENALEPO;ARUSHA;ARUSHA CC;DARAJA II;NON GOVERNMENT;-3.3885302;36.6963438;;;;;
EM.10891;PS0102-059;HIGHRIDGE;ARUSHA;ARUSHA CC;THEMI;NON GOVERNMENT;-3.3941999;36.7067183;;;;;
EM.14975;PS0102-060;MARANATHA MISSION;ARUSHA;ARUSHA CC;LEVOLOSI;NON GOVERNMENT;-3.3610516;36.680395;;;;;
EM.11566;PS0102-061;NOTRE DAME;ARUSHA;ARUSHA CC;LEMARA;NON GOVERNMENT;-3.425423;36.702165;;;;;
EM.13513;PS0102-062;SHINDA BASIC;ARUSHA;ARUSHA CC;SOKON I;NON GOVERNMENT;-3.395134;36.67758;;;;;
EM.11565;PS0102-063;KIMANDOLU LUTHERAN;ARUSHA;ARUSHA CC;KIMANDOLU;NON GOVERNMENT;-3.370864;36.71531;;;;;
EM.13511;PS0102-064;NALOPA;ARUSHA;ARUSHA CC;ENGUTOTO;NON GOVERNMENT;-3.447028;36.710923;;;;;
EM.13037;PS0102-065;OLAIPAPA;ARUSHA;ARUSHA CC;SOMBETINI;NON GOVERNMENT;;;;;;;
EM.14314;PS0102-066;AZIMIO;ARUSHA;ARUSHA CC;ELERAI;GOVERNMENT;-3.365535;36.662405;;;;;
EM.14316;PS0102-067;ESA;ARUSHA;ARUSHA CC;SOKON I;NON GOVERNMENT;-3.401541;36.6751321;;;;;
EM.12379;PS0102-068;JOSEPH SCHOOL;ARUSHA;ARUSHA CC;ELERAI;NON GOVERNMENT;-3.36221;36.65966;;;;;
EM.12385;PS0102-071;TUISHIME;ARUSHA;ARUSHA CC;ENGUTOTO;NON GOVERNMENT;-3.4196;36.7079;;;;;
EM.13514;PS0102-072;ST.THADEUS;ARUSHA;ARUSHA CC;ELERAI;NON GOVERNMENT;-3.368465;36.6648771;;;;;
EM.14312;PS0102-073;ARUSHA ALLIANCE;ARUSHA;ARUSHA CC;OLASITI;NON GOVERNMENT;-3.4179135;36.66439;;;;;
EM.8201;PS0102-074;BURKA ESTATE;ARUSHA;ARUSHA CC;OLASITI;GOVERNMENT;-3.412956;36.63888;;;;;
EM.13033;PS0102-075;CANAAN;ARUSHA;ARUSHA CC;OLMOTI;NON GOVERNMENT;-3.3777067;36.65223993;;;;;
EM.14755;PS0102-076;HIGH CHALLENGE;ARUSHA;ARUSHA CC;MURIET;NON GOVERNMENT;-3.4215342;36.6630579;;;;;
EM.13887;PS0102-077;HOPE;ARUSHA;ARUSHA CC;MOSHONO;NON GOVERNMENT;-3.399049;36.7383433;;;;;
EM.13888;PS0102-078;LADY OF MERCY;ARUSHA;ARUSHA CC;KIMANDOLU;NON GOVERNMENT;-3.3887586;36.716045;;;;;
EM.13508;PS0102-080;LUCKY VICENT;ARUSHA;ARUSHA CC;OLASITI;NON GOVERNMENT;-3.4101138;36.6554973;;;;;
EM.12382;PS0102-081;MAGEREZA;ARUSHA;ARUSHA CC;OLMOTI;GOVERNMENT;-3.3633511;36.6286782;;;;;
EM.2450;PS0102-082;MATEVES;ARUSHA;ARUSHA CC;OLMOTI;GOVERNMENT;-3.389619;36.622719;;;;;
EM.1770;PS0102-084;MOSHONO;ARUSHA;ARUSHA CC;MOSHONO;GOVERNMENT;-3.3908316;36.7306416;;;;;
EM.13889;PS0102-085;MURIET;ARUSHA;ARUSHA CC;MURIET;NON GOVERNMENT;-3.4129023;36.657376;;;;;
EM.6949;PS0102-086;MURONGOINE;ARUSHA;ARUSHA CC;OLMOTI;GOVERNMENT;-3.4987193;36.6338192;;;;;
EM.14572;PS0102-087;NAKIDO;ARUSHA;ARUSHA CC;SOKON I;NON GOVERNMENT;-3.384808;36.67524;;;;;
EM.993;PS0102-088;OLASITI;ARUSHA;ARUSHA CC;OLASITI;GOVERNMENT;-3.4137888;36.638447;;;;;
EM.6950;PS0102-089;OLKEREYAN;ARUSHA;ARUSHA CC;MOSHONO;GOVERNMENT;-3.4455956;36.7083595;;;;;
EM.6951;PS0102-090;SHANGARAO;ARUSHA;ARUSHA CC;MOIVARO;GOVERNMENT;-3.4018216;36.7590683;;;;;
EM.14319;PS0102-091;SHEPHERDS JUNIOR;ARUSHA;ARUSHA CC;MOIVARO;NON GOVERNMENT;-3.367207;36.721578;;;;;
